id,program_areas,strategies,categories
782,Arts & Creativity,,
5,Arts & Creativity,,Job Openings
149,Climate,Clean Energy,
48,Climate,,
159,Education,,From the President
187,Arts & Creativity,,
475,,,Job Openings
480,Special Initiatives,Waterfront Initiative,
68,Climate,,
478,Arts & Creativity,,
479,,,Grants Announcements
197,,,Global
18,,,From the President
3,Arts & Creativity,,Job Openings
37,Climate,Mobility,
52,Climate,Mobility,
784,,,COVID-19
169,Climate,Clean Energy,
188,Sector Effectiveness,Barr Fellowship,
171,Arts & Creativity,,
182,,,Grants Announcements
202,Education,,
177,Education,,Job Openings
209,,,Grants Announcements|From the President
178,Climate,Mobility,BostonBRT
847,Education,,
168,Education,,
783,,,Racial Equity
323,Climate,Mobility,
321,Arts & Creativity,,
279,Climate,Mobility,BostonBRT
315,,,Learning & Evaluation
314,Special Initiatives,Mobility | Climate Resilience | Waterfront Initiative,From the President
193,Arts & Creativity,,From the President
312,Sector Effectiveness,,Job Openings
32,Climate,,
281,Special Initiatives,,Democracy|From the President
318,Special Initiatives,Waterfront Initiative,From the President
308,Education,,Engage New England
322,Climate,Clean Energy,
324,,,
341,Climate,Climate Resilience,From the President
325,Arts & Creativity,,From the President
431,Climate,Climate Resilience,
174,Education,,
365,Climate,Clean Energy,Learning & Evaluation
326,Education,,
274,Arts & Creativity,,
176,Arts & Creativity,,
217,Climate,Mobility,
166,Climate,Mobility,
334,Education,,
327,Arts & Creativity,,
264,Climate,Clean Energy,
330,Climate,Mobility,
343,Climate,Mobility,
328,,,Grants Announcements
310,Education,,
331,Education,,
296,Climate,Mobility,BostonBRT
276,Climate,Climate Resilience,
175,Climate,Clean Energy,
469,,,From the President|Democracy
333,Special Initiatives,Waterfront Initiative,From the President
332,Education,,Engage New England
434,,Waterfront Initiative,
467,,,
313,,,
268,Climate,Clean Energy,
339,Climate,Mobility,BostonBRT|From the President
290,Special Initiatives,,Democracy|From the President
335,Arts & Creativity,Mobility,Learning & Evaluation
338,Climate,Clean Energy,
301,Climate,,
474,Education,,Engage New England
79,,,
344,Climate,Climate Resilience,
366,Sector Effectiveness,,
368,Arts & Creativity,,ArtsAmplified
468,Education,,
470,,,From the President|Democracy
369,Arts & Creativity,,ArtsAmplified
336,,,Learning & Evaluation
342,Climate,Climate Resilience,
337,,,From the President
31,Climate,,
340,,,Grants Announcements
157,,,
302,Arts & Creativity,,
8,Arts & Creativity,,
374,Arts & Creativity,,
358,Climate,Clean Energy,
347,Climate,Clean Energy,
319,Special Initiatives,,From the President|Democracy
180,Sector Effectiveness,,
106,Climate,,
367,Climate,Climate Resilience,
372,Education,,Early Education|Learning & Evaluation
351,Education,,
421,Arts & Creativity,,
345,,Climate Resilience,Job Openings
423,Arts & Creativity,,
4,,,
370,Climate,Climate Resilience,
376,Education,,
377,Special Initiatives,,From the President|Democracy
375,Sector Effectiveness,Barr Fellowship,
514,Arts & Creativity,Mobility,
346,Arts & Creativity,,
373,Climate,Clean Energy,
208,Education,,Early Education
471,,Mobility,
362,Special Initiatives,Waterfront Initiative,
361,Arts & Creativity,,
350,Arts & Creativity,,
21,Education,,Early Education
416,Special Initiatives,,From the President|Democracy
349,Climate,,Job Openings
105,Education,,
74,Arts & Creativity,,
378,Climate,Climate Resilience,
381,Arts & Creativity,,
422,,,
415,Education,,Engage New England
109,Sector Effectiveness,Barr Fellowship,
28,Education,,
355,Arts & Creativity,,
33,Arts & Creativity,,
216,Climate,Clean Energy,
354,Education,,
139,,,
353,Climate,Climate Resilience,
382,,,Grants Announcements
819,,,Grants Announcements
418,Sector Effectiveness,,
521,Arts & Creativity,,
517,Climate,Clean Energy,
519,,,From the President
379,,,Learning & Evaluation
516,Special Initiatives,Waterfront Initiative,
518,Climate,Mobility,
429,,,Grants Announcements
587,Sector Effectiveness,,Racial Equity
522,Special Initiatives,Waterfront Initiative,
428,Climate,,
426,Climate,Climate Resilience,
527,Climate,Clean Energy,
528,Education,,
