id,title,keywords,alt_text,attribution,attribution_url,url,filename
2102,Charlestown Rendering ,,A rendering of a proposed waterfront park in Charlestown. ,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2102/original.jpg,2102.jpg
2103,greenovate boston logo,,greenovate boston logo,,,https://barrfdn-prod.s3.amazonaws.com/image/2103/original.jpg,2103.jpg
2104,mia mansfield headshot,,mia mansfield headshot,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2104/original.jpg,2104.jpg
2105,Homepage Annual Report Graphic,,Highlights from 2017,,,https://barrfdn-prod.s3.amazonaws.com/image/2105/original.jpg,2105.jpg
2106,Map of charlestown landscape,,A map of Charlestown from a birds eye view.,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2106/original.jpg,2106.jpg
2107,Rendering Boston park,,A rendering of a Boston waterfront park. ,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2107/original.jpg,2107.jpg
2108,Map flood entry boston ,,A map of flood entry points in Boston. ,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2108/original.jpg,2108.jpg
2109,Map Cambridge Somerville flooding,,A map of projected flooding in Somerville and Boston.,,https://www.boston.gov/departments/environment/climate-ready-boston,https://barrfdn-prod.s3.amazonaws.com/image/2109/original.jpg,2109.jpg
2110,smart from the start square logo,,smart from the start square logo,,http://smartfromthestartinc.org/,https://barrfdn-prod.s3.amazonaws.com/image/2110/original.png,2110.png
2111,Vermont Energy Investment Corporation,,Vermont Energy Investment Corporation,,www.veic.org,https://barrfdn-prod.s3.amazonaws.com/image/2111/original.png,2111.png
2113,cbi jpg,,cbi jpg,,http://www.cbuilding.org/,https://barrfdn-prod.s3.amazonaws.com/image/2113/original.jpg,2113.jpg
2114,Naseo jpg,,Naseo jpg,,https://www.naseo.org/,https://barrfdn-prod.s3.amazonaws.com/image/2114/original.jpg,2114.jpg
2115,Boston Birds Eye View,,A bird's eye view rendering of Boston. ,,,https://barrfdn-prod.s3.amazonaws.com/image/2115/original.jpg,2115.jpg
2116,CIF Crispus Kids outside,,CIF Crispus Kids outside,,,https://barrfdn-prod.s3.amazonaws.com/image/2116/original.jpg,2116.jpg
2117,Nazareth Outdoor kids water,,Young children playing with a hose outside of school,,,https://barrfdn-prod.s3.amazonaws.com/image/2117/original.jpg,2117.jpg
2118,Julie's family learning center,,Young children sit and read in a school hallway,,https://cedac.org/cif/,https://barrfdn-prod.s3.amazonaws.com/image/2118/original.jpg,2118.jpg
2119,nurtury indoor kids at tables,,nurtury indoor kids at tables,,,https://barrfdn-prod.s3.amazonaws.com/image/2119/original.jpg,2119.jpg
2120,spark outdoor park,,spark outdoor park,,,https://barrfdn-prod.s3.amazonaws.com/image/2120/original.jpg,2120.jpg
2121,Flooded Wharf Bud Ris 1,,Cars parked by Boston's waterfront are flooded with snow and water,Bud Ris,https://www.barrfoundation.org/bios/bud-ris,https://barrfdn-prod.s3.amazonaws.com/image/2121/original.jpg,2121.jpg
2122,Flooded Wharf Bud Ris 2,,Cars parked by Boston's waterfront and flooded by snow and water.,,,https://barrfdn-prod.s3.amazonaws.com/image/2122/original.jpg,2122.jpg
2123,bud flood car driving,,A car drives alone through feet of flooded water.,,,https://barrfdn-prod.s3.amazonaws.com/image/2123/original.jpg,2123.jpg
2124,bud flood waterfront market,,Downtown Boston is flooded with snow and water.,,,https://barrfdn-prod.s3.amazonaws.com/image/2124/original.jpg,2124.jpg
2125,bud flood shack,,Downtown Boston is flooded in snow and water.,,,https://barrfdn-prod.s3.amazonaws.com/image/2125/original.jpg,2125.jpg
2126,bud flood cars driving,,Car parked by Boston waterfront flooded by a storm. ,,,https://barrfdn-prod.s3.amazonaws.com/image/2126/original.jpg,2126.jpg
2127,Jim Speaking at Sonos,artsmeansbiz,Jim Canales speaking at podium at Sonos HQ,,,https://barrfdn-prod.s3.amazonaws.com/image/2127/original.jpg,2127.jpg
2128,Sonos Employees,artsmeansbiz,Employees working on a computer at Sonos,,https://www.sonos.com/en-us/home,https://barrfdn-prod.s3.amazonaws.com/image/2128/original.jpg,2128.jpg
2129,Sonos Employees 2,artsmeansbiz,Three Sonos employees collaborating on a computer. ,,https://www.sonos.com/en-us/home,https://barrfdn-prod.s3.amazonaws.com/image/2129/original.jpg,2129.jpg
2130,Sonos Employee 3,artsmeansbiz,Sonos employee working on a computer,,https://www.sonos.com/en-us/home,https://barrfdn-prod.s3.amazonaws.com/image/2130/original.jpg,2130.jpg
2131,sonos square logo,,Sonos,,,https://barrfdn-prod.s3.amazonaws.com/image/2131/original.jpg,2131.jpg
2132,Boston Mayor Walsh speaking at #ArtsMeansBiz launch event,,Boston Mayor Walsh speaking at #ArtsMeansBiz launch event,,,https://barrfdn-prod.s3.amazonaws.com/image/2132/original.jpg,2132.jpg
2133,Summit for the Public Good Community Labor United Diversity,climate justice,Participants cheering at the Summit for the Public Good,,http://massclu.org/,https://barrfdn-prod.s3.amazonaws.com/image/2133/original.jpg,2133.jpg
2134,Community Labor United Logo,,Community Labor United,,,https://barrfdn-prod.s3.amazonaws.com/image/2134/original.jpg,2134.jpg
2135,Community Labor United Square Logo,,Community Labor United,,,https://barrfdn-prod.s3.amazonaws.com/image/2135/original.jpg,2135.jpg
2136,CLU Summit N2N CEO,,Woman speaking at podium,,,https://barrfdn-prod.s3.amazonaws.com/image/2136/original.jpg,2136.jpg
2137,Green Justice Coalition Logo tall,,Green Justice Coalition ,,,https://barrfdn-prod.s3.amazonaws.com/image/2137/original.jpg,2137.jpg
2138,Green Justice Coalition Square Logo,,Green Justice Coalition,,,https://barrfdn-prod.s3.amazonaws.com/image/2138/original.jpg,2138.jpg
2139,SFC logo,a logo for strategies for children,SFC logo,,,https://barrfdn-prod.s3.amazonaws.com/image/2139/original.gif,2139.gif
2140,Boston Creates B,,Boston Creates,,,https://barrfdn-prod.s3.amazonaws.com/image/2140/original.jpg,2140.jpg
2141,bgc dorchester logo,,bgc dorchester logo,,,https://barrfdn-prod.s3.amazonaws.com/image/2141/original.jpg,2141.jpg
2142,bgc dorchester logo square,,bgc dorchester logo square,,,https://barrfdn-prod.s3.amazonaws.com/image/2142/original.jpeg,2142.jpeg
2144,BGC dorchester kids shopping,,Three children play shopping in preschool,,https://www.bgcdorchester.org/,https://barrfdn-prod.s3.amazonaws.com/image/2144/original.jpg,2144.jpg
2145,Smart from the Start boy and mom,,A boy and his mom snuggle,,http://smartfromthestartinc.org/,https://barrfdn-prod.s3.amazonaws.com/image/2145/original.jpg,2145.jpg
2146,First Teacher adults circle,,parents and children holding hands in a circle outside,,http://www.firstteacherboston.org/,https://barrfdn-prod.s3.amazonaws.com/image/2146/original.png,2146.png
2147,bgc girl with science kit,,young girl using a science kit in a classroom,,https://www.bgcdorchester.org/,https://barrfdn-prod.s3.amazonaws.com/image/2147/original.jpg,2147.jpg
2148,united way girls reading,,united way girls reading,,https://unitedwaymassbay.org/,https://barrfdn-prod.s3.amazonaws.com/image/2148/original.jpg,2148.jpg
